job_id,title,company,skills,location,experience,salary,salary_min,salary_max,description,posted_date,url,category
5502715432,Software Engineer,Taurus AI,AI,"Bangalore, Karnataka",0-2 years,Not specified,0,0,"Company Description Taurus AI is an innovative platform designed to streamline the hiring process by leveraging Artificial Intelligence. Through WhatsApp, Taurus AI acts as a job seeker's personal assistant, offering AI-powered resume building, real-time job updates, interview scheduling, and smart matching with potential employers. Taurus AI's mission is to make hiring faster, fairer, and more human. The platform simplifies job searches while enhancing connections between job seekers and recru…",2025-11-19 08:21:08+00:00,https://www.adzuna.in/land/ad/5502715432?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=FF3E92488B6D4FCB01D3235A31C371CEF7220DD9,IT Jobs
5546316608,Software Engineer,Tata Consultancy Services,"AWS, Azure, AI, DevOps, CI/CD, Git","Bangalore, Karnataka",0-2 years,Not specified,0,0,"Locations: Bangalore Experience: 8-12 Years Role: Staff Software Engineer Must-Have: Staff Software Engineer Azure Responsibility: Cloud Platforms : Experience with cloud security and infrastructure on AWS , Azure , or similar platforms, with a strong understanding of cloud-native architecture and services. CI/CD Tooling : Proficiency in modern DevOps practices using tools like GitLab , GitHub Actions , or equivalent, enabling automated build, test, and deployment pipelines. Containerization & …",2025-12-18 02:41:46+00:00,https://www.adzuna.in/land/ad/5546316608?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=99345129B2159B3CFAA7B0C13A9AD453BCB5C338,IT Jobs
5537735794,Software Engineer,Cargill,"AI, Go","Richmond Town, Bangalore",0-2 years,Not specified,0,0,"Job Purpose and Impact The Professional, Software Engineering job maintains and partners to design and develop software applications and systems. With limited supervision, this job collaborates with cross functional teams to implement new software features to meet user needs and business goals and upgrade existing software to improve performance and functionality through writing clean, efficient and scalable code and troubleshooting and debugging moderately complex issues. This job also partici…",2025-12-11 18:08:48+00:00,https://www.adzuna.in/land/ad/5537735794?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=78F4CAE759D3E66486D6709E0F468B84FFB11B17,IT Jobs
5543493587,Software Engineer,Star Knowledge,AI,"Bangalore, Karnataka",0-2 years,Not specified,0,0,"Job Title: Software Engineer/Consultant Workplace type: Hybrid Location: Bangalore, Karnataka, India Employment type: Contract Job duration: Initial 6-month contract Experience: 6-12 years We are looking for a Software Engineer, Martech platforms with 6 years of experience who is passionate about building intelligent, scalable applications. This role is ideal for someone who thrives in a fast-paced environment and is eager to grow into areas like AI integration, automation, cloud-native develop…",2025-12-16 02:14:13+00:00,https://www.adzuna.in/land/ad/5543493587?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=5D78F25C94340865AA034CE1A81EC039DCF57E5D,IT Jobs
5540660580,Software Engineer,Cargill,"AI, Go","Richmond Town, Bangalore",0-2 years,Not specified,0,0,"Job Purpose and Impact The Professional, Software Engineering job maintains and partners to design and develop software applications and systems. With limited supervision, this job collaborates with cross functional teams to implement new software features to meet user needs and business goals and upgrade existing software to improve performance and functionality through writing clean, efficient and scalable code and troubleshooting and debugging moderately complex issues. This job also partici…",2025-12-13 09:13:10+00:00,https://www.adzuna.in/land/ad/5540660580?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=2F3354575A7CF0CE57957E0AF3F4CAB18A38593F,IT Jobs
5529812710,Software Engineer,Ambient Security,"Python, JavaScript, SQL","Bangalore, Karnataka",0-2 years,Not specified,0,0,"Ambient Security is an exciting early startup, looking to reduce the risk of cyber attacks for large enterprises. The founder and CEO is a 7x cyber security entrepreneur with a track record of successful exits. We have large enterprise customers and are cash-flow neutral. Ws seeking software engineers at entry levels to lead the design and implementation of innovative technologies. We are seeking creative engineers to build innovative technologies that involve hard problems in Security, Large S…",2025-12-06 01:34:05+00:00,https://www.adzuna.in/land/ad/5529812710?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=6E98BF600A7257B3AB9C55DD2645930F9B30EA95,IT Jobs
5517270693,Software Engineer,Mobileum,"Java, AI, Spark, Hadoop","Bangalore, Karnataka",0-2 years,Not specified,0,0,"Role: Software Engineer About the Job: We are seeking a passionate and skilled Backend Engineer with strong expertise in Java-based backend development and big data frameworks such as Apache Spark and Hadoop. The candidate should have practical experience in building and optimizing data pipelines and APIs, with proven exposure to ClickHouse for large-scale analytical workloads. Roles & Responsibility: - Design, develop, and maintain scalable backend services and data processing pipelines using …",2025-11-28 09:48:47+00:00,https://www.adzuna.in/land/ad/5517270693?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=3E46D1F87808ECAE854412E006E4E9CBE90B1296,IT Jobs
5536066886,Software Engineer,Andor Tech,"Python, JavaScript, SQL","Bangalore, Karnataka",0-2 years,Not specified,0,0,"Job Title: Software Test Engineer – PLC / SCADA / HMI / DCS / EPKS Experience: 3–10 Years Employment Type: Full-time Job Summary: We are looking for a skilled Software Test Engineer with strong experience in PLC, SCADA, HMI, DCS, and Honeywell EPKS (Experion DCS) . The role involves testing, validation, verification, and quality assurance of industrial automation control systems. The ideal candidate will ensure system reliability, functionality, and compliance through structured testing methodo…",2025-12-10 16:54:47+00:00,https://www.adzuna.in/land/ad/5536066886?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=00A3F57CF87897CABD7F78BD15F71BFC3ACD52E5,Engineering Jobs
5424620121,Software Engineer,Epsilon,AI,"Bangalore, Karnataka",0-2 years,Not specified,0,0,"About Business Unit: From helping to invent the affiliate industry to leading performance marketing, the CJ Team has earned a reputation for maintaining the largest and most reliable partnership-based platform. We are the platform of choice for driving profitable growth for over 3,800 global brands - across industries like retail, travel, finance, and network & home services. Our technology powers a vast partnership ecosystem where over 167K publishers and brands engage with billions of consume…",2025-10-01 21:05:10+00:00,https://www.adzuna.in/land/ad/5424620121?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=B4C433EE278EEEADD05163E6CF0E0BD7F8CF8055,IT Jobs
5515703554,Software Engineer,Mobileum,"Python, JavaScript, SQL","Bangalore, Karnataka",0-2 years,Not specified,0,0,"About Us: Mobileum is a leading provider of Telecom analytics solutions for roaming, core network, security, risk management, domestic and international connectivity testing, and customer intelligence. More than 1,000 customers rely on its Active Intelligence platform, which provides advanced analytics solutions, allowing customers to connect deep network and operational intelligence with real-time actions that increase revenue, improve customer experience, and reduce costs. Know our story: htt…",2025-11-27 09:50:42+00:00,https://www.adzuna.in/land/ad/5515703554?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=341214C7C845C2554C402588AC6B40424ABF09B1,IT Jobs
5528017460,Software Engineer,AdMax Local,AI,"Bangalore, Karnataka",0-2 years,Not specified,0,0,"Position : Software Engineer Location: Bangalore, India About Us : How would you like to work for a fast-growing, international company in one of the hottest spaces on the Internet? AdMax Local is the world's first fully automated SEM, Social and website platform that enables resellers to price, build, manage, optimize and report on high quality, hyper-local search campaigns and websites for multiple businesses at scale. Available in the European and Asian Pacific markets since 2009 AdMax Local…",2025-12-05 01:34:16+00:00,https://www.adzuna.in/land/ad/5528017460?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=6B5702EDD4AD065E9BBFB3D5168A682CCA8786B8,IT Jobs
5549503054,Software Engineer,BU Consultants,"Java, React","Bangalore, Karnataka",0-2 years,Not specified,0,0,"Job Title: SDE–2(Senior Software Development Engineer) Location: [Hyderabad/ Bengaluru] Experience: 4–6 years Employment Type: Full-Time About the Role We are looking for a highly skilled SDE–2 to design, build, and scale high-performance applications. You will own complex modules, contribute to architectural decisions, and mentor junior engineers while working across the full tech stack. Key Responsibilities Design and develop scalable, high-performance web applications using Java and React . …",2025-12-20 09:06:40+00:00,https://www.adzuna.in/land/ad/5549503054?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=2F69537160E1B1EBC58A1CB14A1F09411963CB64,IT Jobs
5424621524,Software Engineer,BayOne Solutions,Microservices,"Bangalore, Karnataka",0-2 years,Not specified,0,0,"Who You’ll Work With You will work directly with Technical Leaders, Principal Engineers and Product Managers leading platform specific microservices development for solutions across all Networking products. You will work with a 15 members engineering team to plan, lead and execute technical challenges relating to microservices development. You will lead development teams to collaboratively design solutions. You will work in an entirely distributed company and help define an entirely new space w…",2025-10-01 21:05:28+00:00,https://www.adzuna.in/land/ad/5424621524?se=pAPvQvTf8BGXlJbHGB19_Q&utm_medium=api&utm_source=d9209848&v=B798E34AE1AB972760075D5E2877FA3B15C33104,IT Jobs
